county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Marion,2022-2023,84280,0,10,1022.333333,0
Marion,2023-2024,87060,0,0,1035.166667,0
Marshall,2019-2020,12730,4498,313,36,0
Marshall,2020-2021,9923,3991,4,11.73,0
Marshall,2021-2022,9656,577,3,15.11666667,1.270833333
Marshall,2022-2023,10459,2075,8,18.2625,0
Marshall,2023-2024,8315.93,977,31,14.615,3.029166667
Maury,2019-2020,157087,11582,11,88.8375,14.5
Maury,2020-2021,193660,12,3,105.3333333,6.166666667
Maury,2021-2022,136028,4,2,109.2358333,5.416666667
Maury,2022-2023,110363,1,1,94.75833333,5.25
Maury,2023-2024,171015,0,0,121.6641667,5.166666667
McMinn,2019-2020,167040,0,0,526.75,1244.666667
McMinn,2020-2021,124093,0,0,716.75,69.16666667
McMinn,2021-2022,119460,0,0,623.5,42.66666667
McMinn,2022-2023,75200,0,3,557.4166667,54.08333333
McMinn,2023-2024,90966,0,30,695.6666667,52.66666667
McNairy,2019-2020,3300,2300,2,97.16666667,0
McNairy,2020-2021,11925,10889,14,42.58333333,0
McNairy,2021-2022,5638,4866,7,38.83333333,0
McNairy,2022-2023,15205,9430,22,24.66666667,0
McNairy,2023-2024,33919,15269,52,29.8,0
Meigs,2019-2020,142870,2,26,65.45833333,1.916666667
Meigs,2020-2021,227090.4,0,76,88.16666667,5.375833333
Meigs,2021-2022,209380,0,64,82.995,4.725
Meigs,2022-2023,226700,0,84,71.125,1.775
Meigs,2023-2024,187100,0,126,63.10833333,1332.441667
Monroe,2019-2020,322070,8152,16,46.69583333,30.79166667
Monroe,2020-2021,383705,30915,151,81.24916667,41.43333333
Monroe,2021-2022,665512,35242,58,146.1816667,49.625
Monroe,2022-2023,320705,16700,158,96.61583333,38.8125
Monroe,2023-2024,247720,15155,76,107.275,65.95
Montgomery,2019-2020,114089.75,179636.75,144,1.516666667,17.9375
Montgomery,2020-2021,150628,148928,121,4.108333333,18.97916667
Montgomery,2021-2022,118280,118280,94,2.179166667,16.52916667
Montgomery,2022-2023,117525,109923,145,2.570833333,21.8
Montgomery,2023-2024,53266,53266,180,1.883333333,16.25416667
Moore,2019-2020,51581,221.6,0,15.7125,0
Moore,2020-2021,39245,223,0,10.29166667,0.675
Moore,2021-2022,32650,209,0,8.233333333,0
Moore,2022-2023,42160,277,0,10.66666667,0
Moore,2023-2024,29061,171.4,1,6.791666667,0
Morgan,2019-2020,27426,287,4,12.225,10.64166667
Morgan,2020-2021,16448,414,0,19.16666667,5.666666667
Morgan,2021-2022,18643,380,3,16.79166667,6.833333333
Morgan,2022-2023,20565,770,26,21,4.375
Morgan,2023-2024,26976,1181,3,31.79166667,0.708333333
Obion,2019-2020,30380,332,0,26.33333333,0
Obion,2020-2021,12400,0,0,8,0
Obion,2021-2022,14600,0,0,18.25,0
Obion,2022-2023,23220,124,1,22.66666667,0
Obion,2023-2024,18280,756,0,51.91666667,0
Overton,2019-2020,203160,0,35,48.30833333,0
Overton,2020-2021,175700,0,29,51.58333333,0
Overton,2021-2022,167500,1,25,51.21666667,0
Overton,2022-2023,142880,0,12,52.01666667,0
Overton,2023-2024,143100,0,20,51.93333333,0
Perry,2019-2020,8252,7452,0,1620,0
Perry,2020-2021,4680,4680,0,1620,0
Perry,2021-2022,4073,4073,0,1620,0
Perry,2022-2023,2301,2278,0,1620,0
Perry,2023-2024,2784,2519,0,1080,0
Pickett,2019-2020,39220,0,0,59.64583333,0
Pickett,2020-2021,38900,0,1,41.43333333,0
Pickett,2021-2022,40300,0,0,40.6475,0
Pickett,2022-2023,46540,0,0,26.22291667,0.020833333
Pickett,2023-2024,38380,2,3,23.94416667,601.6666667
Polk,2019-2020,8800,0,9,20,1.5
Polk,2020-2021,3725,0,4,12.40833333,0
Polk,2021-2022,45604.65,0,7,63.875,7.666666667
Polk,2022-2023,39170,0,7,50.83333333,4.25
Polk,2023-2024,29770,0,4,57.66666667,10.66666667
Putnam,2019-2020,76777,76187,13,63.45,2.25
Putnam,2020-2021,87313,87313,1,55.08333333,18.58333333
