county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Hardin,2021-2022,44340.0,0.0,0,0,0.0,87.8,505.0113895216401,0.0
Hardin,2022-2023,62475.0,0.0,0,0,0.0,87.8,711.5603644646925,0.0
Hardin,2023-2024,76924.0,0.0,0,0,0.0,87.8,876.1275626423691,0.0
Hawkins,2019-2020,179310.0,0.0,1,16,64.0,76.9,2331.7295188556564,0.0
Hawkins,2020-2021,158775.0,0.0,0,158,450.0,76.9,2064.6944083224967,0.0
Hawkins,2021-2022,102084.0,0.0,0,52,156.0,76.9,1327.4902470741222,0.0
Hawkins,2022-2023,107416.0,0.0,0,48,240.0,76.9,1396.8270481144343,0.0
Hawkins,2023-2024,136476.0,0.0,0,52,253.0,76.9,1774.7204161248374,0.0
Haywood,2019-2020,114140.0,50320.0,0,0,0.0,28.0,4076.4285714285716,1797.142857142857
Haywood,2020-2021,148436.0,54520.0,0,15,5.0,28.0,5301.285714285715,1947.142857142857
Haywood,2021-2022,156800.0,57440.0,4,22,11.0,28.0,5600.0,2051.4285714285716
Haywood,2022-2023,98900.0,28520.0,10,0,0.0,28.0,3532.1428571428573,1018.5714285714286
Haywood,2023-2024,154160.0,51760.0,3,0,0.0,28.0,5505.714285714285,1848.5714285714287
Henderson,2019-2020,114505.0,114505.0,15,0,0.0,162.0,706.820987654321,706.820987654321
Henderson,2020-2021,56084.0,56084.0,26,0,0.0,162.0,346.1975308641975,346.1975308641975
Henderson,2021-2022,36039.0,39594.0,0,0,0.0,162.0,222.46296296296296,244.40740740740742
Henderson,2022-2023,7449.0,6804.0,2,13,4.0,162.0,45.98148148148148,42.0
Henderson,2023-2024,3000.0,2556.0,0,0,0.0,162.0,18.51851851851852,15.777777777777779
Henry,2019-2020,52055.0,0.0,12,19,325.0,101.0,515.3960396039604,0.0
Henry,2020-2021,41860.0,0.0,1,26,91.0,101.0,414.45544554455444,0.0
Henry,2021-2022,42540.0,50.0,2,34,150.0,101.0,421.18811881188117,0.49504950495049505
Henry,2022-2023,44500.0,0.0,4,37,158.0,101.0,440.5940594059406,0.0
Henry,2023-2024,23180.42,0.0,5,42,126.0,101.0,229.50910891089106,0.0
Hickman,2019-2020,344660.0,364060.0,634,0,0.0,68.0,5068.529411764706,5353.823529411765
